T_K,epsilon,epsilon_err_low,epsilon_err_high,method
10,0.05,0.02,0.03,TPDED
15,0.20,0.05,0.05,TPDED
18,0.40,0.07,0.07,TPDED
20,0.45,0.07,0.07,TPDED
22,0.35,0.07,0.07,TPDED
25,0.30,0.05,0.05,TPDED
30,0.30,0.04,0.04,TPDED
40,0.30,0.04,0.04,TPDED
50,0.28,0.04,0.04,TPDED
60,0.28,0.04,0.04,TPDED
80,0.25,0.04,0.04,TPDED
100,0.20,0.05,0.05,isothermal
120,0.20,0.05,0.05,isothermal
150,0.18,0.05,0.05,isothermal
180,0.20,0.05,0.05,isothermal
200,0.20,0.06,0.06,isothermal
220,0.18,0.06,0.06,isothermal
250,0.20,0.06,0.06,isothermal
