E_h2_bind_eV,eps_10k,eps_20k,eps_30_80k,er_blocking_strength,er_cross_section_cm2,er_reaction_probability,objective,plateau_eps,stage,sticking_blocking_strength,sticking_probability
,,,,,1e-15,0.8,0.0028515600000000004,0.1466,highT,,0.3
,,,,,1e-15,0.9,0.001218010000000001,0.1651,highT,,0.3
,,,,,1e-15,1.0,0.0004752400000000006,0.1782,highT,,0.3
,,,,,1.5e-15,0.8,0.00018224999999999958,0.18650000000000003,highT,,0.3
,,,,,1.5e-15,0.9,3.0250000000000054e-05,0.1945,highT,,0.3
,,,,,1.5e-15,1.0,4.225000000000008e-05,0.20650000000000002,highT,,0.3
,,,,,1e-15,0.8,0.000936360000000001,0.1694,highT,,0.35
,,,,,1e-15,0.9,0.00024025000000000042,0.1845,highT,,0.35
,,,,,1e-15,1.0,0.0001488400000000004,0.1878,highT,,0.35
,,,,,1.5e-15,0.8,0.00018496000000000002,0.2136,highT,,0.35
,,,,,1.5e-15,0.9,0.0006708099999999989,0.2259,highT,,0.35
,,,,,1.5e-15,1.0,0.0007075600000000006,0.22660000000000002,highT,,0.35
0.06,0.04542710898643102,0.17739882285089012,0.3231071992337121,1.0,1.5e-15,0.9,0.0005339426564264664,,ded,0.5,0.3
0.06,0.014835381763251854,0.13176950418059555,0.3195511627467686,1.0,1.5e-15,0.9,0.0003822479647506324,,ded,1.0,0.3
0.065,0.04542710898643102,0.17000624859590738,0.32467752780578024,1.0,1.5e-15,0.9,0.0006089803786050575,,ded,0.5,0.3
0.065,0.014835381763251854,0.09340631614157106,0.3247999999881245,1.0,1.5e-15,0.9,0.0006150399994109746,,ded,1.0,0.3
0.07,0.04542710898643102,0.17925731383890695,0.3237291548429225,1.0,1.5e-15,0.9,0.0005630727895593916,,ded,0.5,0.3
0.07,0.014835381763251854,0.09675276938325457,0.3286695267404751,1.0,1.5e-15,0.9,0.0008219417635228183,,ded,1.0,0.3
