E_chem_mean_eV,E_h2_bind_eV,E_phys_mean_meV,arrival_rate_per_site_s,beam_dissociation_fraction,chemisorption_fraction,enable_LH,enable_diffusion,enable_h2_blocking,epsilon,er_blocking_strength,er_cross_section_cm2,er_reaction_probability,final_h_atoms_on_surface,final_time,gas_temperature_k,grain_radius_um,h2_desorption_prefactor_s,h2_formed_ER,h2_formed_LH,h2_formed_UV,h2_on_surface,h2_stick_prob_lowT,h2_stick_transition_K,h_gas_density_cm3,heterogeneity_E_bind_sigma_meV,heterogeneity_E_chem_sigma_eV,impinging_h2_molecules,impinging_h_atoms,initial_h_coverage,max_arrivals,porosity_fraction,rng_seed,run_id,site_area_angstroms_sq,sticking_blocking_strength,sticking_probability,sticking_temp_model,surface_defect_fraction,surface_temperature_k,total_h2_desorbed,total_h2_desorbed_ER,total_h2_desorbed_LH,total_h2_desorbed_UV,total_h2_desorbed_beam,total_h2_formed,total_h2_released_beam,total_h2_released_formed,use_3d_lattice,uv_defect_creation_rate,uv_flux_factor,uv_pulse_duration,uv_pulse_enabled,uv_stimulated_diffusion_factor
1.75,0.06,45.0,0.01,1.0,0.5,False,False,True,0.2032,1.0,1.5e-15,0.9,298,579.6311543059411,300.0,0.005,1000000000000.0,508,0,0,0,0.9,20.0,0.0,5.0,0.25,0,5000,0.0,5000,0.0,1000,0,25,1.0,0.3,constant,0.15,100,508,508,0,0,0,508,0,0,True,0.5,0.0,1e-06,False,2.0
1.75,0.06,45.0,0.01,1.0,0.5,False,False,True,0.2084,1.0,1.5e-15,0.9,313,570.4216499330704,300.0,0.005,1000000000000.0,521,0,0,0,0.9,20.0,0.0,5.0,0.25,0,5000,0.0,5000,0.0,1001,1,25,1.0,0.3,constant,0.15,100,521,521,0,0,0,521,0,0,True,0.5,0.0,1e-06,False,2.0
1.75,0.06,45.0,0.01,1.0,0.5,False,False,True,0.1972,1.0,1.5e-15,0.9,325,580.1714891707512,300.0,0.005,1000000000000.0,493,0,0,0,0.9,20.0,0.0,5.0,0.25,0,5000,0.0,5000,0.0,1002,2,25,1.0,0.3,constant,0.15,100,493,493,0,0,0,493,0,0,True,0.5,0.0,1e-06,False,2.0
1.75,0.06,45.0,0.01,1.0,0.5,False,False,True,0.2008,1.0,1.5e-15,0.9,323,577.092224518424,300.0,0.005,1000000000000.0,502,0,0,0,0.9,20.0,0.0,5.0,0.25,0,5000,0.0,5000,0.0,1003,3,25,1.0,0.3,constant,0.15,100,502,502,0,0,0,502,0,0,True,0.5,0.0,1e-06,False,2.0
1.75,0.06,45.0,0.01,1.0,0.5,False,False,True,0.2112,1.0,1.5e-15,0.9,322,575.211834478258,300.0,0.005,1000000000000.0,528,0,0,0,0.9,20.0,0.0,5.0,0.25,0,5000,0.0,5000,0.0,1004,4,25,1.0,0.3,constant,0.15,100,528,528,0,0,0,528,0,0,True,0.5,0.0,1e-06,False,2.0
1.75,0.06,45.0,0.01,1.0,0.5,False,False,True,0.1884,1.0,1.5e-15,0.9,215,577.7008525170776,300.0,0.005,1000000000000.0,471,0,0,0,0.9,20.0,0.0,5.0,0.25,0,5000,0.0,5000,0.0,1000,0,25,1.0,0.3,constant,0.15,150,471,471,0,0,0,471,0,0,True,0.5,0.0,1e-06,False,2.0
1.75,0.06,45.0,0.01,1.0,0.5,False,False,True,0.194,1.0,1.5e-15,0.9,219,566.4810287704073,300.0,0.005,1000000000000.0,485,0,0,0,0.9,20.0,0.0,5.0,0.25,0,5000,0.0,5000,0.0,1001,1,25,1.0,0.3,constant,0.15,150,485,485,0,0,0,485,0,0,True,0.5,0.0,1e-06,False,2.0
1.75,0.06,45.0,0.01,1.0,0.5,False,False,True,0.1868,1.0,1.5e-15,0.9,251,576.8025569016395,300.0,0.005,1000000000000.0,467,0,0,0,0.9,20.0,0.0,5.0,0.25,0,5000,0.0,5000,0.0,1002,2,25,1.0,0.3,constant,0.15,150,467,467,0,0,0,467,0,0,True,0.5,0.0,1e-06,False,2.0
1.75,0.06,45.0,0.01,1.0,0.5,False,False,True,0.1904,1.0,1.5e-15,0.9,228,566.0418653360688,300.0,0.005,1000000000000.0,476,0,0,0,0.9,20.0,0.0,5.0,0.25,0,5000,0.0,5000,0.0,1003,3,25,1.0,0.3,constant,0.15,150,476,476,0,0,0,476,0,0,True,0.5,0.0,1e-06,False,2.0
1.75,0.06,45.0,0.01,1.0,0.5,False,False,True,0.2148,1.0,1.5e-15,0.9,236,600.1878856555301,300.0,0.005,1000000000000.0,537,0,0,0,0.9,20.0,0.0,5.0,0.25,0,5000,0.0,5000,0.0,1004,4,25,1.0,0.3,constant,0.15,150,537,537,0,0,0,537,0,0,True,0.5,0.0,1e-06,False,2.0
1.75,0.06,45.0,0.01,1.0,0.5,False,False,True,0.1932,1.0,1.5e-15,0.9,226,567.0497594616107,300.0,0.005,1000000000000.0,483,0,0,0,0.9,20.0,0.0,5.0,0.25,0,5000,0.0,5000,0.0,1000,0,25,1.0,0.3,constant,0.15,200,483,483,0,0,0,483,0,0,True,0.5,0.0,1e-06,False,2.0
1.75,0.06,45.0,0.01,1.0,0.5,False,False,True,0.1868,1.0,1.5e-15,0.9,242,566.5215547014496,300.0,0.005,1000000000000.0,467,0,0,0,0.9,20.0,0.0,5.0,0.25,0,5000,0.0,5000,0.0,1001,1,25,1.0,0.3,constant,0.15,200,467,467,0,0,0,467,0,0,True,0.5,0.0,1e-06,False,2.0
1.75,0.06,45.0,0.01,1.0,0.5,False,False,True,0.1868,1.0,1.5e-15,0.9,223,571.4761025326181,300.0,0.005,1000000000000.0,467,0,0,0,0.9,20.0,0.0,5.0,0.25,0,5000,0.0,5000,0.0,1002,2,25,1.0,0.3,constant,0.15,200,467,467,0,0,0,467,0,0,True,0.5,0.0,1e-06,False,2.0
1.75,0.06,45.0,0.01,1.0,0.5,False,False,True,0.1832,1.0,1.5e-15,0.9,212,578.1953768294088,300.0,0.005,1000000000000.0,458,0,0,0,0.9,20.0,0.0,5.0,0.25,0,5000,0.0,5000,0.0,1003,3,25,1.0,0.3,constant,0.15,200,458,458,0,0,0,458,0,0,True,0.5,0.0,1e-06,False,2.0
1.75,0.06,45.0,0.01,1.0,0.5,False,False,True,0.2104,1.0,1.5e-15,0.9,240,573.3583717482364,300.0,0.005,1000000000000.0,526,0,0,0,0.9,20.0,0.0,5.0,0.25,0,5000,0.0,5000,0.0,1004,4,25,1.0,0.3,constant,0.15,200,526,526,0,0,0,526,0,0,True,0.5,0.0,1e-06,False,2.0
1.75,0.06,45.0,0.01,1.0,0.5,False,False,True,0.1932,1.0,1.5e-15,0.9,226,567.0406648813054,300.0,0.005,1000000000000.0,483,0,0,0,0.9,20.0,0.0,5.0,0.25,0,5000,0.0,5000,0.0,1000,0,25,1.0,0.3,constant,0.15,250,483,483,0,0,0,483,0,0,True,0.5,0.0,1e-06,False,2.0
1.75,0.06,45.0,0.01,1.0,0.5,False,False,True,0.1868,1.0,1.5e-15,0.9,242,566.5129349874027,300.0,0.005,1000000000000.0,467,0,0,0,0.9,20.0,0.0,5.0,0.25,0,5000,0.0,5000,0.0,1001,1,25,1.0,0.3,constant,0.15,250,467,467,0,0,0,467,0,0,True,0.5,0.0,1e-06,False,2.0
1.75,0.06,45.0,0.01,1.0,0.5,False,False,True,0.1868,1.0,1.5e-15,0.9,223,571.4653931796739,300.0,0.005,1000000000000.0,467,0,0,0,0.9,20.0,0.0,5.0,0.25,0,5000,0.0,5000,0.0,1002,2,25,1.0,0.3,constant,0.15,250,467,467,0,0,0,467,0,0,True,0.5,0.0,1e-06,False,2.0
1.75,0.06,45.0,0.01,1.0,0.5,False,False,True,0.1832,1.0,1.5e-15,0.9,212,578.1838283721494,300.0,0.005,1000000000000.0,458,0,0,0,0.9,20.0,0.0,5.0,0.25,0,5000,0.0,5000,0.0,1003,3,25,1.0,0.3,constant,0.15,250,458,458,0,0,0,458,0,0,True,0.5,0.0,1e-06,False,2.0
1.75,0.06,45.0,0.01,1.0,0.5,False,False,True,0.2104,1.0,1.5e-15,0.9,240,573.3761790848233,300.0,0.005,1000000000000.0,526,0,0,0,0.9,20.0,0.0,5.0,0.25,0,5000,0.0,5000,0.0,1004,4,25,1.0,0.3,constant,0.15,250,526,526,0,0,0,526,0,0,True,0.5,0.0,1e-06,False,2.0
