ded_eps10,ded_eps20,ded_eps30_80,delta_drop_ratio,delta_mid,delta_plateau,drop_ratio,knob,plateau_eps,value,variant
0.037340910058315246,0.12601255582488788,0.3229573593572054,,,,0.2963269002352883,baseline,0.08199999999999999,,baseline
0.021506112023353403,0.11208000809192975,0.26250058967067413,-0.10444511516516447,-0.06045676968653124,-0.010999999999999982,0.19188178507012382,sticking_probability,0.07100000000000001,0.24,low
0.03705162337150869,0.13403160844931214,0.38167611025192516,-0.019887455837209522,0.058718750894719784,0.02150000000000002,0.27643944439807877,sticking_probability,0.10350000000000001,0.36,high
0.036304193319118695,0.11279136315532601,0.32055377426862086,0.025543430111937493,-0.0024035850885845145,-0.013499999999999984,0.3218703303472258,er_cross_section_cm2,0.0685,1.2e-15,low
0.023672883787661407,0.12886703454775403,0.32643573965083,-0.11262682619587996,0.0034783802936246278,0.009500000000000008,0.18370007403940833,er_cross_section_cm2,0.0915,1.7999999999999997e-15,high
0.036304193319118695,0.11279136315532601,0.32055377426862086,0.025543430111937493,-0.0024035850885845145,-0.013499999999999984,0.3218703303472258,er_reaction_probability,0.0685,0.7200000000000001,low
0.0345136953459798,0.12848958841793465,0.3282626968417276,-0.027716067474909123,0.005305337484522221,0.0050000000000000044,0.26861083276037917,er_reaction_probability,0.087,1.0,high
0.037340910058315246,0.2407744058562996,0.32045345581099305,-0.1412401918888818,-0.002503903546212327,0.0,0.1550867083464065,E_h2_bind_eV,0.08199999999999999,0.048,low
0.037340910058315246,0.09587267245802737,0.32902134622090967,0.0931574971529553,0.006063986863704296,0.0,0.3894843973882436,E_h2_bind_eV,0.08199999999999999,0.072,high
0.022358116081965456,0.1591273840979556,0.32721375779888523,-0.15582238425454262,0.004256398441679854,0.0,0.14050451598074568,sticking_blocking_strength,0.08199999999999999,0.8,low
0.039842559674961905,0.0991160985069367,0.3267553085128641,0.10565179217837145,0.003797949155658731,0.0,0.40197869241365974,sticking_blocking_strength,0.08199999999999999,1.2,high
0.037340910058315246,0.13526624148196156,0.3266494472934491,-0.020271990679049556,0.0036920879362437042,0.0,0.27605490955623874,er_blocking_strength,0.08199999999999999,0.8,low
0.036163301929116196,0.1127066394536244,0.3244006727356824,0.0245353143106114,0.0014433133784770291,0.0,0.3208622145458997,er_blocking_strength,0.08199999999999999,1.2,high
