T_K,method,epsilon_exp,sigma_exp,epsilon_model,sigma_model,sigma_used,residual,z,used_in_chi2,model_source,notes
10.0,tpded,0.05,0.025,0.1807096272457741,0.003356681142591969,0.025,0.13070962724577412,5.228385089830964,True,TPDED sim,
15.0,tpded,0.2,0.05,0.11934482815606307,0.003861351947274613,0.05,-0.08065517184393695,-1.613103436878739,True,TPDED sim,
18.0,tpded,0.4,0.07,0.33624630290897406,0.006345447856904302,0.07,-0.06375369709102596,-0.9107671013003709,True,TPDED sim,
20.0,tpded,0.45,0.07,0.5163804256676969,0.00767396040290586,0.07,0.06638042566769692,0.948291795252813,True,TPDED sim,
22.0,tpded,0.35,0.07,0.34045602607064074,0.007106839477805094,0.07,-0.00954397392935924,-0.136342484705132,True,TPDED sim,
25.0,tpded,0.3,0.05,0.306134307504083,0.006695710408387198,0.05,0.006134307504083003,0.12268615008166006,True,TPDED sim,
30.0,tpded,0.3,0.04,0.29958531283693823,0.004929546326600616,0.04,-0.00041468716306175546,-0.010367179076543886,True,TPDED sim,
40.0,tpded,0.3,0.04,0.30035130056480575,0.005463410014885914,0.04,0.00035130056480575655,0.008782514120143914,True,TPDED sim,
50.0,tpded,0.28,0.04,0.2893440482355679,0.00847030113025936,0.04,0.009344048235567892,0.2336012058891973,True,TPDED sim,
60.0,tpded,0.28,0.04,0.30136698564770137,0.006361595777115302,0.04,0.021366985647701342,0.5341746411925336,True,TPDED sim,
80.0,tpded,0.25,0.04,0.29799238085299207,0.006572611858623787,0.04,0.04799238085299207,1.1998095213248017,True,TPDED sim,
100.0,isothermal,0.2,0.05,0.20661732694819332,0.0013673929679065553,0.05,0.006617326948193308,0.13234653896386617,True,isothermal sim,
120.0,isothermal,0.2,0.05,0.19564649542882018,0.0012760729344878257,0.05,-0.004353504571179834,-0.08707009142359667,True,isothermal sim,
150.0,isothermal,0.18,0.05,0.1917936438833261,0.0013066145323279317,0.05,0.0117936438833261,0.23587287766652199,True,isothermal sim,
180.0,isothermal,0.2,0.05,0.1909664780148019,0.0017207361057006252,0.05,-0.009033521985198106,-0.18067043970396213,True,isothermal sim,
200.0,isothermal,0.2,0.06,0.19490639965171966,0.001797522695037346,0.06,-0.005093600348280353,-0.08489333913800588,True,isothermal sim,
220.0,isothermal,0.18,0.06,0.19096647801480193,0.0012666083882397741,0.06,0.01096647801480194,0.18277463358003232,True,isothermal sim,
250.0,isothermal,0.2,0.06,0.19151066608619938,0.0012805599119156894,0.06,-0.008489333913800634,-0.1414888985633439,True,isothermal sim,
