h_gas_density_cm3,near_full_h2,near_over_present,present150_h2,surface_temperature_k,uv_flux_factor
10.0,2099.0,5.009546539379475,419.0,10.0,0.0
10.0,2076.1,5.006672025723472,414.6666666666667,10.0,0.1
10.0,2067.8,4.892271293375394,422.6666666666667,10.0,1.0
10.0,1743.5,5.014860977948226,347.6666666666667,10.0,10.0
10.0,271.5,3.5881057268722465,75.66666666666667,10.0,100.0
100.0,2451.7,5.107708333333333,480.0,10.0,0.0
100.0,2421.3,5.033887733887735,481.0,10.0,0.1
100.0,2437.8,5.349963423555231,455.6666666666667,10.0,1.0
100.0,2404.1,5.207436823104692,461.6666666666667,10.0,10.0
100.0,1930.8,5.0237640936686905,384.3333333333333,10.0,100.0
1000.0,2482.5,5.101027397260274,486.6666666666667,10.0,0.0
1000.0,2481.4,5.406100217864924,459.0,10.0,0.1
1000.0,2485.8,4.978237650200268,499.3333333333333,10.0,1.0
1000.0,2481.5,5.576404494382023,445.0,10.0,10.0
1000.0,2468.5,5.285867237687366,467.0,10.0,100.0
10000.0,2482.5,5.215336134453781,476.0,10.0,0.0
10000.0,2472.6,4.8198830409356725,513.0,10.0,0.1
10000.0,2489.8,5.176299376299377,481.0,10.0,1.0
10000.0,2472.3,5.23792372881356,472.0,10.0,10.0
10000.0,2473.5,5.027439024390244,492.0,10.0,100.0
100000.0,2520.2,5.265041782729805,478.6666666666667,10.0,0.0
100000.0,2472.1,5.146634281748786,480.3333333333333,10.0,0.1
100000.0,2495.6,5.15264969029594,484.3333333333333,10.0,1.0
100000.0,2500.7,5.152541208791209,485.3333333333333,10.0,10.0
100000.0,2507.4,5.567875647668394,450.3333333333333,10.0,100.0
10.0,2084.6,4.889601250977326,426.3333333333333,20.0,0.0
10.0,2105.6,4.874074074074074,432.0,20.0,0.1
10.0,2084.6,4.983107569721115,418.3333333333333,20.0,1.0
10.0,1734.8,4.796682027649769,361.6666666666667,20.0,10.0
10.0,268.0,3.216,83.33333333333333,20.0,100.0
100.0,2437.3,5.032278045423263,484.3333333333333,20.0,0.0
100.0,2419.3,5.13651804670913,471.0,20.0,0.1
100.0,2446.7,5.065631469979295,483.0,20.0,1.0
100.0,2408.6,5.121048901488306,470.3333333333333,20.0,10.0
100.0,1938.8,5.0753926701570675,382.0,20.0,100.0
1000.0,2498.5,5.126880984952121,487.3333333333333,20.0,0.0
1000.0,2493.8,5.2464235624123425,475.3333333333333,20.0,0.1
1000.0,2496.4,5.218954703832753,478.3333333333333,20.0,1.0
1000.0,2463.3,5.051196172248804,487.6666666666667,20.0,10.0
1000.0,2447.5,5.127444134078212,477.3333333333333,20.0,100.0
10000.0,2507.7,5.090054127198917,492.6666666666667,20.0,0.0
10000.0,2492.4,4.915976331360947,507.0,20.0,0.1
10000.0,2493.0,5.2743300423131165,472.6666666666667,20.0,1.0
10000.0,2490.2,5.0613821138211375,492.0,20.0,10.0
10000.0,2479.9,5.250317572335922,472.3333333333333,20.0,100.0
100000.0,2457.9,5.240724946695096,469.0,20.0,0.0
100000.0,2479.8,5.187866108786611,478.0,20.0,0.1
100000.0,2477.6,5.176044568245125,478.6666666666667,20.0,1.0
100000.0,2513.4,5.150409836065574,488.0,20.0,10.0
100000.0,2462.6,5.202676056338028,473.3333333333333,20.0,100.0
10.0,732.4,5.970652173913043,122.66666666666667,50.0,0.0
10.0,747.3,6.962422360248447,107.33333333333333,50.0,0.1
10.0,756.8,6.818018018018018,111.0,50.0,1.0
10.0,658.3,6.039449541284403,109.0,50.0,10.0
10.0,154.5,4.030434782608696,38.333333333333336,50.0,100.0
100.0,757.2,7.3514563106796125,103.0,50.0,0.0
100.0,749.1,6.402564102564103,117.0,50.0,0.1
100.0,746.1,6.20027700831025,120.33333333333333,50.0,1.0
100.0,738.4,6.170473537604456,119.66666666666667,50.0,10.0
100.0,653.3,5.697383720930232,114.66666666666667,50.0,100.0
1000.0,750.6,6.361016949152543,118.0,50.0,0.0
1000.0,739.7,6.07972602739726,121.66666666666667,50.0,0.1
1000.0,757.0,6.204918032786885,122.0,50.0,1.0
1000.0,743.0,6.754545454545455,110.0,50.0,10.0
1000.0,736.7,6.738109756097562,109.33333333333333,50.0,100.0
10000.0,751.6,6.535652173913044,115.0,50.0,0.0
10000.0,741.2,5.913829787234043,125.33333333333333,50.0,0.1
10000.0,744.9,6.384857142857142,116.66666666666667,50.0,1.0
10000.0,754.5,5.848837209302325,129.0,50.0,10.0
10000.0,754.9,6.470571428571428,116.66666666666667,50.0,100.0
100000.0,769.5,6.172459893048128,124.66666666666667,50.0,0.0
100000.0,744.8,6.7709090909090905,110.0,50.0,0.1
100000.0,767.9,5.99921875,128.0,50.0,1.0
100000.0,773.5,6.63,116.66666666666667,50.0,10.0
100000.0,739.6,6.029347826086957,122.66666666666667,50.0,100.0
