surface_temperature_k,h_gas_density_cm3,uv_flux_factor,h2_release_rate_cm2_s_mean,total_h2_formed_mean,epsilon_mean,h2_formed_LH_mean,h2_formed_ER_mean,h2_formed_UV_mean
20.0,10000.0,1.0,31923112.605675597,2847.55,0.284755,2795.05,52.5,0.0
20.0,10000.0,0.0,31898670.727300107,2849.0,0.2849,2795.9,53.1,0.0
20.0,10000.0,10.0,31896365.338274647,2842.65,0.284265,2785.25,57.4,0.0
20.0,10000.0,100.0,31894898.275735214,2844.3,0.28443,2791.15,53.15,0.0
30.0,10000.0,0.0,30918983.70227767,2753.5,0.27535,2694.05,59.45,0.0
30.0,10000.0,1.0,30911262.195516855,2754.75,0.2754749999999999,2696.1,58.65,0.0
50.0,10000.0,0.0,30909252.46105204,2754.55,0.275455,2694.6,59.95,0.0
40.0,10000.0,0.0,30909252.453581143,2754.55,0.275455,2694.6,59.95,0.0
60.0,10000.0,0.0,30902479.07153328,2754.05,0.275405,2694.3,59.75,0.0
60.0,10000.0,1.0,30901148.21742969,2757.25,0.2757249999999999,2698.55,58.7,0.0
50.0,10000.0,1.0,30901099.744575113,2757.25,0.2757249999999999,2698.55,58.7,0.0
40.0,10000.0,1.0,30901099.73774483,2757.25,0.2757249999999999,2698.55,58.7,0.0
70.0,10000.0,10.0,30873722.132912196,2747.65,0.274765,2683.8,63.85,0.0
70.0,10000.0,0.0,30821384.35758219,2753.75,0.275375,2693.15,60.6,0.0
50.0,10000.0,10.0,30819033.8797534,2745.2,0.27452,2682.75,62.45,0.0
40.0,10000.0,10.0,30819033.86723869,2745.2,0.27452,2682.75,62.45,0.0
60.0,10000.0,10.0,30817760.598123897,2744.9,0.27449,2682.5,62.4,0.0
30.0,10000.0,10.0,30797672.14855683,2743.0,0.2743,2680.05,62.95,0.0
70.0,10000.0,1.0,30784099.47499252,2745.85,0.2745849999999999,2689.1,56.75,0.0
60.0,10000.0,100.0,30735807.96723624,2741.65,0.274165,2680.8,60.85,0.0
50.0,10000.0,100.0,30727457.286168747,2742.1,0.27421,2681.4,60.7,0.0
40.0,10000.0,100.0,30727457.275474917,2742.1,0.27421,2681.4,60.7,0.0
70.0,10000.0,100.0,30718804.147513337,2741.35,0.2741349999999999,2681.4,59.95,0.0
30.0,10000.0,100.0,30718796.495334268,2743.0,0.2743000000000001,2682.4,60.6,0.0
80.0,10000.0,1.0,30607994.44439944,2730.1,0.27301,2666.75,63.35,0.0
